body,title
"
México ascendió, al corte de este 29 de junio, a 27 mil 121 muertes por Covid-19, con 220 mil 657 casos de contagios confirmados de coronavirus, según informaron autoridades de la Secretaría de Salud.
José Luis Alomía, director general de Epidemiología, detalló además que hay 66 mil 910 casos sospechosos, aunque con 279 mil 35 casos negativos acumulados en el país.
El aumento de 1.8 % en los casos confirmados acumulados en México al día de hoy marcó ""un nuevo punto más bajo de crecimiento"" para un día, aseguró.
La red de 867 hospitales para la enfermedad reportó un total de 26 mil 623 camas generales de las cuales 11 mil 834, el 44 % se encuentran ocupadas actualmente; en tanto que se dispone de 8 mil 964 de terapia intensiva, con un 39% de ocupación, equivalente a 3 mil 517 espacios. 
Por otro lado, no existen preocupaciones específicas dentro del equipo de gobierno que viajará a Estados Unidos con motivo del encuentro que sostendrán los presidentes Andrés Manuel López Obrador y Donald Trump.
En conferencia de prensa, el subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell Ramírez, dijo que el presidente mexicano sí estuvo en contacto directo con el secretario de Hacienda Arturo Herrera, quien resultó positivo a Covid-19; sin embargo, no se encuentra en particular riesgo de ser contagiado porque el que tuvieron no fue considerado un contacto relevante.
""Hay tres factores cruciales: cuánto tiempo duró el contacto o la proximidad, qué tan próxima fue físicamente y en qué fecha ocurrió respecto a la contagiosidad o capacidad contagiante de la persona enferma. Hemos revisado con detenimiento que de las 70 personas que están en la lista inicial de contactos, el presidente es uno de los enlistados pero no está en particular riesgo de ser contagiado"", dijo.
""Lo que corresponde es la vigilancia basada en síntomas"".
Cuando se le cuestionó si ya se le realizó al presidente mexicano la prueba para saber si está infectado por el virus SARS-CoV-2, explicó que es común en las personas que se enteran de que alguien cercano resultó positivo solicitar o desear hacerse la prueba para la enfermedad; sin embargo, no tiene una lógica científica porque si se hace la prueba en menos de seis días después del contacto, puede que la prueba resulte negativa. Lo mismo puede ocurrir si la persona permanece asintomática.
Ante ello, la prueba solo se debe hacer si el contacto desarrolló síntomas compatibles con Covid-19; o si tiene factores de riesgo y se puede complicar.
""En todos los casos, no hay una urgencia de hacer la prueba al día siguiente del contacto. Sin embargo, en términos de la contención para evitar la propagación, inmediatamente puede necesitar, si fue un contacto relevante, estar en aislamiento. Por eso el estudio de contactos es muy importante. Las pruebas no solucionan todo"".

Contexto de las últimas 24 horas
Ayer, la Secretaría de Salud había confirmado 216 mil 852 contagios, 26 mil 648 muertos y más de 25 mil casos activos por coronavirus en México.
Este lunes, la jefa de Gobierno, Claudia Sheinbaum, presentó un mapa de colonia por colonia de los casos de coronavirus que existen en la Ciudad de México.
Adelantó que Iztapalapa bajó el número de casos, mientras que Xochimilco, Tlalpan y Milpa Alta han incrementado en la misma cifra.
* Con información de Teresa Moreno
Vea aquí la transmisión completa de la conferencia sobre casos de coronavirus en México, desde Palacio Nacional:

cev/rcr
",México llega a los 220 mil contagios y 27 mil decesos por Covid
"
La cuarentena nos ha servido a muchas personas para reflexionar, concretar proyectos en casa, pasar más tiempo con la familia o continuar con el trabajo, pero para Geraldine Bazán ha sido un momento perfecto para escapar a la playa embellecer su bronceado y lucir su escultural figura desde la comodidad de su piscina.
La grandiosa actriz no ha parado de lucir su envidiable cuerpo con los bikinis que a diario comparte en sus redes sociales y aunque nos encanta verla con conjuntos de dos piezas esta última vez lució un bañador negro completo que le queda de maravilla.

 



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Geraldine Bazan (@geraldinebazan) el 29 de Mar de 2020 a las 4:22 PDT



Leer también: Geraldine Bazán presume su figura en bata de baño

Además de todo demuestra ser una madre super preocupada y ocupada por pasar tiempo con sus hijas que no dudan ni un segundo en ser parte de sus posts, pues en compañia de ellas luce estampados super coquetos y chic en diseños perfectos para pequeñas como sus hijas y otros más sexys para mamás hermosas como ella.

 



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Geraldine Bazan (@geraldinebazan) el 29 de Jun de 2020 a las 10:08 PDT




Inculo han sido sus mejores fotógrafas, pues algunas veces ha publicado fotografías que sus hijas han logrado con su excelente ojo.

 



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Geraldine Bazan (@geraldinebazan) el 26 de Abr de 2020 a las 3:07 PDT




En aquella ocasión, Geraldine decidió combinar un top con toques de transparencias en color blanco y unas flores que ocultaban las partes estratégicas de su busto y lo llevó a juego con un bikini de estampado selvático.
La radiante madre de dos niñas muestra que el tiempo casi no pasa por ella, pues tras haber dado a luz a sus dos hermosas niñas, la actriz muestra su cuerpo con orgullo, el cual logra con mucho ejercicio y dietas. Y qué mejor manera de recordárnoslo que con un bikini rosado de dimensiones diminutas que no podía quedarle mejor y que resalta sus hermosos ojos verdes.

 



 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Geraldine Bazan (@geraldinebazan) el 13 de Jun de 2020 a las 6:36 PDT




Aun después de su tan sonada ruptura con el padre de sus hijas, Geraldine les da una lección a cualquier mujer que pueda pasar por lo mismo: en lugar de derrotarse parece que todo esto le sentó mejor, ya que la vemos cada vez más bella y amante de la vida que nunca, y con sus 37 años podemos ver que lo mejor de ella está por venir. La adoramos.
",Geraldine Bazán la reina de los bikinis en cuarentena
,Alejandro Hope
,
"

La vergonzosa aquiescencia del presidente López Obrador ante Donald Trump, que aparentemente culminará en una reprobable visita a la Casa Blanca dentro de unos días, me ha hecho recordar la entrevista que le hice hace tres años. Entonces, el candidato López Obrador parecía tener claro que el acoso sistemático de Trump contra México y los mexicanos era, antes que nada, inadmisible y, segundo, motivado enteramente por la necesidad política. El contraste entre aquella postura y la actual es, por decir lo menos, desconcertante.

Recojo algunos intercambios. El resto está en YouTube.

Le pregunté si Trump le había faltado al respeto a México: “Sí. Le ha faltado al respeto a la diplomacia. A lo que debe de ser una relación respetuosa, con pueblos, naciones y gobiernos en el mundo. Es cero diplomacia (…) Es la anti-diplomacia. El exabrupto. Es lo que nunca se había visto”.

¿Enrique Peña Nieto se había equivocado al negociar con Trump? “Sí. Se ha equivocado. Siento que no ha entendido cuál es la estrategia de Donald Trump. Muchos no han entendido que se trata de un asunto político, no necesariamente económico”.

Le sugerí que la intención del discurso nativista y anti-mexicano de Trump era, sobre todo, la de entusiasmar a su base. Es decir, usar a México y a su gobierno con fines meramente electorales. Contestó: “Sí. Creo que es un asunto de carácter electoral. Él gana con ese discurso. Quiere posicionarse con ese mismo discurso y reelegirse”… “Hay un sentimiento anti-mexicano en ciertos sectores de la sociedad estadounidense (…) Siempre hay sentimientos nacionalistas y son relativamente fáciles de explotar. Se dieron condiciones para que se tocara ese tema, ese resorte, que es lo que le ha dado raja política a Trump”…“Lo que le importa, con ese discurso y esa propaganda, es ganar terreno en lo político y en lo electoral”.

Sobre la urgencia de hacerle frente a la retórica y el prejuicio de Trump, subrayó: “Hay que enfrentar esa campaña. Es muy venenosa. De xenofobia. De desatar odios. Estamos los mexicanos como los perseguidos. Es toda una estrategia política”.

Sobre la invitación de Peña Nieto a Trump en plena campaña presidencial del 2016, recalcó su oposición tajante: “No se debió invitarlo. Fue un error. No debimos meternos en la campaña presidencial en Estados Unidos. No teníamos por qué hacerlo. Fue un error garrafal”.

¿Qué opinaba sobre una declaración de Trump, en la que calificaba a Peña Nieto como un “hombre bueno”, dispuesto a recibir ayuda de Estados Unidos? “Es parte de la misma propaganda de Trump y de sus asesores que no son tontos. Es seguirlo humillando. Nosotros somos un país independiente y no aceptamos tanto hostigamiento de un presidente de Estados Unidos. Es demasiado. Incluso esa referencia. Es como decir: ‘es un hombre bueno, pero incapaz’ y entonces yo con toda mi prepotencia le voy a dar la mano y voy a poner orden. No. No queremos eso”.

A Trump había que enfrentarlo de manera más firme porque ya era presidente: “Ahora que ya es el presidente de Estados Unidos hay una política de Estado que agrede y afecta a mexicanos. Entonces sí vamos a participar (en el debate)”.

¿Cómo se responde a un hombre como Trump, empecinado en esa agresión constante? Entonces, López Obrador tenía las cosas claras: “Con principios. Con firmeza. De manera respetuosa. Con aplomo. (…) Esto es un asunto político y así hay que enfrentarlo”.

¿Cómo explicar que un hombre que manifestaba una indignación tan contundente y justificada a la retórica nativista, que reprobaba la indignidad y “humillación” del gobierno peñanietista frente a Trump, que se decía listo para enfrentar “con firmeza” y contrarrestar esa propaganda de odio, esté ahora haciendo maletas para ir a Washington para regalarle a Trump una victoria política justo en tiempos electorales? No responderá, pero algo está claro: el López Obrador de 2017 reprobaría lo que el López Obrador de 2020 está a punto de hacer.
",López Obrador contra López Obrador
,
,CDMX presenta mapa de casos de coronavirus por colonias
"
Se hablaba que la fracción de clubes de la Liga MX cuyos juegos son transmitidos por Fox Sports, realizarían un torneo de pretemporada para contrarrestar la Copa Por México, esto reuniría a cuadros como Monterrey, Santos, Pachuca y León, pero... Puros sueños guajiros.
Ni los Rayados, menos laguneros, piensan en participar en un evento de ese tipo, a lo más habrá un juego de preparación entre ambas escuadras, que ni siquiera se sabe si será transmitido. 
Lee también: Cruz Azul jugará la Copa por México, sin estar listo para competir
Ante la falta de quórum, todo hace indicar que lo que sería la Copa Fox, podría terminar siendo la Copa Claro, que transmite a Tuzos y Esmeraldas, que se dice piensa invitar a clubes como FC Juárez y Atlético de San Luis, que mucha afición, no jalarán.
",Dificultades para armar torneo de pretemporada
"
Tres personas murieron y una quedó ciega permanentemente después de beber gel antibacterial para manos, informó el Departamento de Salud de Nuevo México, Estados Unidos. 

Las autoridades sanitarias señalaron, mediante un comunicado, que las personas sufrieron envenenamiento por metanol, incluido en el producto sanitizante. 

También informaron que los casos están relacionados con el alcoholismo y que el desinfectante para manos, a veces, se consume por su alto contenido de alcohol. 

El primero de los cuatro casos fue reportado al Centro de Información sobre Drogas y Control de Envenenamiento de Nuevo México el 7 de mayo. El resto después del 29 de mayo. 

El Departamento de Salud agregó que hay tres personas más hospitalizadas en estado crítico, también por ingerir gel antibacterial con metanol. No se proporcionaron más detalles de las víctimas. 

Recomendamos: Alertan por desinfectante hecho en México; es potencialmente tóxico

La noticia se da a conocer luego de que la Administración de Medicamentos y Alimentos (FDA) alertara y pidiera a los consumidores no usar ningún desinfectante para manos fabricado por Esk Biochem SA de CV, hecho en México, debido a la posible presencia de metanol, una sustancia que puede ser tóxica cuando se absorbe a través de la piel o se ingiere. 

El producto Lavar Gel contiene 81 por ciento (v / v) de metanol, sin alcohol etílico. CleanCare No Germ contiene 28 por ciento (v / v) de metanol. 

Las autoridades sanitarias no precisaron si las muertes en Nuevo México están relacionadas con los productos de Esk Biochem. 


“Los consumidores que han estado expuestos a desinfectantes para manos que contienen metanol deben buscar tratamiento inmediato, que es fundamental para la posible reversión de los efectos tóxicos de la intoxicación por metanol”, señalan. 


La exposición al metanol puede provocar náuseas, vómitos, dolor de cabeza, visión borrosa, ceguera permanente, convulsiones, coma, daños permanentes en el sistema nervioso o en el peor caso la muerte.

Aunque es poco probable que una persona beba gel antibacterial tóxico, la FDA pide tener especial cuidado con las botellas y no dejarlas al alcance de los niños. 

Un informe reciente de los Centros para el Control y la Prevención de Enfermedades (CDC) describió un “fuerte aumento” en las llamadas a centros de envenenamiento relacionados con exposiciones a limpiadores y desinfectantes desde el inicio de la pandemia por coronavirus. 

El 39% de los encuestados informaron que participaron en prácticas de alto riesgo no recomendadas con la intención de prevenir la transmisión del Covid-19, tales como lavar productos alimenticios con cloro, aplicar productos de limpieza o desinfectantes para el hogar sobre la piel desnuda e inhalarlos o ingerirlos intencionalmente. 

Lee: Los CDC agregan tres posibles síntomas de Covid-19 a su lista
",
"





Ante la cuarentena por coronavirus Covid-19, el Instituto Nacional Electoral (INE) ha emitido dos medidas para quienes no cuentan con su credencial de elector o por si ésta no se encuentra actualizada.
Si tu credencial para votar perdió vigencia el 1 de enero de 2020, podrás seguir utilizándola, pues se extendió su vigencia de dichas credenciales del INE hasta el próximo 1 de septiembre de 2020. 
Esto debido al cierre de los Módulos de Atención Ciudadana del INE, ante la cuarentena del Covid-19.
Esta prórroga de la vigencia de la credencial de elector permite que la puedas seguir utilizando como identificación oficial ante instituciones públicas y privadas para realizar trámites y servicios. 

Constancia Digital del INE
Además, el INE comenzó con la emisión de constancias digitales, las cuales se pueden tramitar si perdiste tu credencial de elector o realizaste alguna actualización como cambio de domicilio y no pudiste recoger la mica debido al cierre de tu Módulo de Atención Ciudadana.
La Constancia Digital se puede tramitar durante el periodo comprendido entre el 25 de mayo y el 1 de septiembre de 2020.
Se expedirá a favor de todos los ciudadanos que cuenten con un registro vigente en el Padrón Electoral; es decir, este documento que tendrá carácter temporal, no está dirigido a quienes se les venció su credencial en 2018 o previo a este año.
Vigencia de la Constancia Digital del INE
La Constancia Digital contará con una vigencia de tres meses a partir de su emisión y la fecha de su expiración se incorporará en el propio texto de la constancia. Dicho formato puede descargarse en este enlace. 
Requisitos Constancia Digital del INE
El formato de solicitud de la constancia digital del INE deberá contener al menos, lo siguiente:

Nombre de la o el ciudadano titular;
documento o medio de identificación que acrediten la identidad de la o el titular;
domicilio y/o correo electrónico para recibir notificaciones;
datos personales que forman parte del Padrón Electoral a los que solicita acceder;
fecha;
firma y, en su caso, los documentos que acrediten la personalidad e identidad del representante.

Una vez llenado y firmado el formato, se deberá escanear o tomar una fotografía y enviarla al correo electrónico constancia.digital@ine.mx
El INE recibirá la solicitud, verificará que esté completa y que corresponda a un registro vigente en el Padrón Electoral y la Lista Nominal.
En caso de que todo esté correcto, se emitirá la Constancia Digital y la enviará al correo electrónico registrado en la solicitud.
 
Tiempo de entrega de la Constancia Digital del INE
Este proceso de verificación podrá tardar entre 3 y 5 días, dependiendo del volumen de solicitudes que se presenten.
Los ciudadanos podrán imprimir su Constancia Digital y presentarla ante las instituciones públicas o privadas como medio de identificación.
Elementos de la Constancia Digital del INE
La Constancia Digital es un documento en formato PDF, con los siguientes datos:

nombre(s), apellido paterno, apellido materno;
clave de elector;
número de emisión;
dato OCR (Reconocimiento Óptico de Caracteres);
Código de Identificación de Credencial (CIC);
año de registro;
fecha de emisión, mes y año de fin de vigencia de la Constancia Digital.

 
Para más información da clic en este enlace.
",Constancia Digital INE: ¿cómo tramitarla y para qué sirve?
